author_id,first_name,last_name,website,department,cluster
aid25924805300,Clements,D.L.,http://www.imperial.ac.uk/people/d.clements,ASTRO,0
aid6701605678,Heavens,A.,http://astro.ic.ac.uk/aheavens/home,ASTRO,0
aid35415116200,Jaffe,A.,http://astro.ic.ac.uk/ajaffe/home,ASTRO,0
aid7202570251,Mohanty,S.,http://www.imperial.ac.uk/people/s.mohanty,ASTRO,0
aid7004828613,Mortlock,D.,http://www.imperial.ac.uk/people/d.mortlock,ASTRO,0
aid8560426200,Pritchard,J.,http://www.imperial.ac.uk/people/j.pritchard,ASTRO,0
aid7006790230,Rowan-Robinson,M.,http://astro.ic.ac.uk/home/mrrobinson,ASTRO,0
aid7004543998,Trotta,R.,http://www.imperial.ac.uk/people/r.trotta,ASTRO,0
aid6603681280,Unruh,Y.,http://www.imperial.ac.uk/people/y.unruh,ASTRO,0
aid7401492555,Warren,S.,http://astro.ic.ac.uk/sjwarren/home,ASTRO,0
aid56186073300,Finnis,M.,http://www.imperial.ac.uk/people/m.finnis,CMTG,1
aid35609947800,Haynes,P.D.,http://www.imperial.ac.uk/people/p.haynes,CMTG,1
aid6603903482,Mostofi,A.A.,http://www.imperial.ac.uk/people/a.mostofi,CMTG,1
aid55943561300,Tangney,P.,https://www.imperial.ac.uk/people/p.tangney,CMTG,1
aid7202687765,Christensen,K.,http://www.imperial.ac.uk/people/k.christensen,CMTG,1
aid7101673327,Foulkes,W.M.C.,http://www.imperial.ac.uk/people/wmc.foulkes,CMTG,1
aid56187259100,Giannini,V.,https://www.imperial.ac.uk/people/v.giannini,CMTG,1
aid55566079500,Hess,O.,https://www.imperial.ac.uk/people/o.hess,CMTG,1
aid7406666766,Lee,D.K.K.,https://www.imperial.ac.uk/people/dkk.lee,CMTG,1
aid35374145700,MacKinnon,A.,http://www.imperial.ac.uk/people/a.mackinnon,CMTG,1
aid7006457019,Pendry,J.B.,https://www.imperial.ac.uk/people/j.pendry,CMTG,1
aid35600384500,Sutton,A.P.,http://www.imperial.ac.uk/people/a.sutton,CMTG,1
aid7005754490,Vvedensky,D.D.,http://www.imperial.ac.uk/people/d.vvedensky,CMTG,1
aid6701337286,Anthopoulos,T.D.,https://www.imperial.ac.uk/people/thomas.anthopoulos,ESSPG,2
aid7004719264,Barnham,K.W.J.,http://www.imperial.ac.uk/people/k.barnham,ESSPG,2
aid6701674861,Branford,W.R.,https://www.imperial.ac.uk/people/w.branford,ESSPG,2
aid7403504802,Campbell,A.J.,https://www.imperial.ac.uk/people/alasdair.campbell,ESSPG,2
aid35418235300,Cohen,L.F.,https://www.imperial.ac.uk/people/l.cohen,ESSPG,2
aid6603934588,Ekins-Daukes,N.,https://www.imperial.ac.uk/people/n.ekins-daukes,ESSPG,2
aid8099024500,Kim,J.S.,https://www.imperial.ac.uk/people/ji-seon.kim,ESSPG,2
aid55626089600,Murray,R.,https://www.imperial.ac.uk/people/r.murray,ESSPG,2
aid55665151000,Nelson,J.K.,https://www.imperial.ac.uk/people/jenny.nelson,ESSPG,2
aid6701923754,Oulton,R.F.,https://www.imperial.ac.uk/people/r.oulton,ESSPG,2
aid7403131397,Phillips,C.,https://www.imperial.ac.uk/people/chris.phillips,ESSPG,2
aid6508203701,Sandeman,K.G.,http://www.imperial.ac.uk/people/k.sandeman,ESSPG,2
aid36062542300,Zhang,J.,http://www.imperial.ac.uk/people/jing.zhang,ESSPG,2
aid7201635833,Maier,S.A.,https://www.imperial.ac.uk/people/s.maier,ESSPG,2
aid7004944588,Araujo,H.M.,https://www.imperial.ac.uk/people/h.araujo,HEP,3
aid35226998100,Buchmueller,O.L.,https://www.imperial.ac.uk/people/o.buchmueller,HEP,3
aid35227088300,Colling,D.,http://www.imperial.ac.uk/people/d.colling,HEP,3
aid35227055600,Dauncey,P.,http://www.imperial.ac.uk/people/p.dauncey,HEP,3
aid35274511200,Davies, G.,https://www.imperial.ac.uk/people/g.j.davies,HEP,3
aid35314635600,Dornan,P.,http://www.imperial.ac.uk/people/p.dornan,HEP,3
aid35227147800,Egede,U.,https://www.imperial.ac.uk/people/u.egede,HEP,3
aid12774402800,Golutvin,A.,http://www.imperial.ac.uk/people/a.golutvin,HEP,3
aid7402065353,Hall,G.,http://www.imperial.ac.uk/people/g.hall,HEP,3
aid55939344400,Hassard,J.,http://www.imperial.ac.uk/people/j.hassard,HEP,3
aid7201657574,Long,K.R.,http://www.imperial.ac.uk/people/k.long,HEP,3
aid55324049300,Malik, S.,https://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=137594,HEP,3
aid35227721200,Nash,J.,https://www.imperial.ac.uk/people/j.nash,HEP,3
aid8614375800,Pasternak,J.,http://www.imperial.ac.uk/people/j.pasternak,HEP,3
aid11639284500,Patel,M.,http://www.imperial.ac.uk/people/mitesh.patel,HEP,3
aid56524783300,Posocco,P.A.,https://www.imperial.ac.uk/people/p.posocco,HEP,3
aid6603116014,Pozimski,J.,http://www.imperial.ac.uk/people/j.pozimski,HEP,3
aid35315072600,Sedgbeer,J.K.,http://www.imperial.ac.uk/people/j.sedgbeer,HEP,3
aid7004390242,Sumner,T.J.,http://www.imperial.ac.uk/people/t.sumner,HEP,3
aid10044981400,Tapper,A.,http://www.imperial.ac.uk/people/a.tapper,HEP,3
aid15724035300,Uchida,Y.,https://www.imperial.ac.uk/people/yoshi.uchida,HEP,3
aid12755098100,Virdee,T.,http://www.imperial.ac.uk/people/t.virdee,HEP,3
aid6603085091,Wascko,M.O.,http://www.imperial.ac.uk/people/m.wascko,HEP,3
aid7006766794,Damzen,M.J.,https://www.imperial.ac.uk/people/m.damzen,PHOTO,4
aid6603088156,Dunsby,C.,https://www.imperial.ac.uk/people/christopher.dunsby,PHOTO,4
aid55951140400,French,P.M.W.,https://www.imperial.ac.uk/people/paul.french,PHOTO,4
aid7103038509,McCall,M.W.,https://www.imperial.ac.uk/people/m.mccall,PHOTO,4
aid35345195700,McGinty,J.,https://www.imperial.ac.uk/people/james.mcginty,PHOTO,4
aid7006881781,Neil,M.,https://www.imperial.ac.uk/people/mark.neil,PHOTO,4
aid7102840993,Paterson,C.,https://www.imperial.ac.uk/people/carl,PHOTO,4
aid55627787300,Popov,S.V.,https://www.imperial.ac.uk/people/s.popov,PHOTO,4
aid7405402263,Taylor,J.R.,https://www.imperial.ac.uk/people/jr.taylor,PHOTO,4
aid7004977414,Torok,P.,https://www.imperial.ac.uk/people/peter.torok,PHOTO,4
aid7003961825,Weir,K.,https://www.imperial.ac.uk/people/k.weir,PHOTO,4
aid7006569172,Bland,S.N.,http://www.imperial.ac.uk/people/sn.bland,PPG,5
aid55976539900,Chittenden,J.,http://www.imperial.ac.uk/people/j.chittenden,PPG,5
aid55471584300,Evans,R.G.,http://www.imperial.ac.uk/people/roger.evans,PPG,5
aid6701584026,Kingham,R.J.,https://www.imperial.ac.uk/people/rj.kingham,PPG,5
aid7103044966,Lebedev,S.,http://www.imperial.ac.uk/people/s.lebedev,PPG,5
aid9241105700,Najmudin,Z.,https://www.imperial.ac.uk/people/z.najmudin,PPG,5
aid7402127495,Rose,S.J.,https://www.imperial.ac.uk/people/s.rose,PPG,5
aid7410295712,Smith,R.A.,http://www.imperial.ac.uk/people/r.a.smith,PPG,5
aid55913409900,Averbukh,V.,http://www.imperial.ac.uk/people/v.averbukh,QOLS,6
aid6701386284,Frasinski,L.J.,http://www.imperial.ac.uk/people/l.j.frasinski,QOLS,6
aid7006963786,Hinds,E.A.,http://www.imperial.ac.uk/people/ed.hinds,QOLS,6
aid7402565938,Hudson,J.J.,http://www.imperial.ac.uk/people/jony.hudson,QOLS,6
aid55218429300,Ivanov,M.Y.,http://www.imperial.ac.uk/people/m.ivanov,QOLS,6
aid35090215700,Jennings,D.,https://www.imperial.ac.uk/people/d.jennings,QOLS,6
aid36067105100,Kim,M.S.,https://www.imperial.ac.uk/people/m.kim,QOLS,6
aid7006756811,Marangos,J.P.,http://www.imperial.ac.uk/people/j.marangos,QOLS,6
aid6603182591,Mintert,F.,https://www.imperial.ac.uk/people/f.mintert,QOLS,6
aid7004576310,Rudolph,T.,http://www.imperial.ac.uk/people/t.rudolph,QOLS,6
aid7101617778,Sauer,B.E.,http://www.imperial.ac.uk/people/ben.sauer,QOLS,6
aid6602620361,Tarbutt,M.R.,https://www.imperial.ac.uk/people/m.tarbutt,QOLS,6
aid55482220900,Thompson,R.,https://www.imperial.ac.uk/people/r.thompson,QOLS,6
aid7004462779,Tisch,J.W.G.,http://www.imperial.ac.uk/people/john.tisch,QOLS,6
aid7004171611,Brindley,H.,https://www.imperial.ac.uk/people/h.brindley,SAPG,7
aid13605694700,Carr,C.M.,http://www.imperial.ac.uk/people/c.m.carr,SAPG,7
aid7103229409,Czaja,A.,https://www.imperial.ac.uk/people/a.czaja,SAPG,7
aid7103132533,Dougherty,M.K.,http://www.imperial.ac.uk/people/m.dougherty,SAPG,7
aid7103301626,Eastwood,J.P.,http://www.imperial.ac.uk/people/jonathan.eastwood,SAPG,7
aid7102198938,Forsyth,R.J.,http://www.imperial.ac.uk/people/r.forsyth,SAPG,7
aid6602680428,Galand,M.,https://www.imperial.ac.uk/people/m.galand,SAPG,7
aid26654233100,Graven,H.,https://www.imperial.ac.uk/people/h.graven,SAPG,7
aid6603697977,Horbury,T.S.,https://www.imperial.ac.uk/people/t.horbury,SAPG,7
aid23071073500,Masters,A.,https://www.imperial.ac.uk/people/a.masters,SAPG,7
aid8263368900,Mueller-Wodarg,I.,https://www.imperial.ac.uk/people/i.mueller-wodarg,SAPG,7
aid7102689523,Pickering,J.C.,http://www.imperial.ac.uk/people/j.pickering,SAPG,7
aid55365738600,Schwartz,S.J.,https://www.imperial.ac.uk/people/s.schwartz,SAPG,7
aid7007010459,Toumi,R.,https://www.imperial.ac.uk/people/r.toumi,SAPG,7
aid22986631300,Voulgarakis,A.,https://www.imperial.ac.uk/people/a.voulgarakis,SAPG,7
aid35512883100,Haigh,J.D.,https://www.imperial.ac.uk/people/j.haigh,SAPG?,7
aid6603787233,Contaldi,C.R.,http://www.imperial.ac.uk/people/c.contaldi,THEO,8
aid6602107540,Dowker,F.,http://www.imperial.ac.uk/people/f.dowker,THEO,8
aid34769932200,Evans,T.S.,http://www.imperial.ac.uk/people/t.evans,THEO,8
aid7003843522,Gauntlett,J.P.,https://www.imperial.ac.uk/people/j.gauntlett,THEO,8
aid7005338486,Halliwell,J.J.,http://www.imperial.ac.uk/people/j.halliwell,THEO,8
aid6603713822,Hanany,A.,http://www.imperial.ac.uk/people/a.hanany,THEO,8
aid35605401900,Hull,C.M.,https://www.imperial.ac.uk/people/c.hull,THEO,8
aid7003483425,Magueijo,J.,http://www.imperial.ac.uk/people/j.magueijo,THEO,8
aid6603873000,Rajantie, A.,https://www.imperial.ac.uk/people/a.rajantie,THEO,8
aid7004133846,Stelle,K.S.,http://www.imperial.ac.uk/people/k.stelle,THEO,8
aid7103019887,Tseytlin,A.A.,https://www.imperial.ac.uk/people/a.tseytlin,THEO,8
aid6603774556,Waldram,D,http://www.imperial.ac.uk/people/d.waldram,THEO,8
aid7003954728,Wiseman,T.,https://www.imperial.ac.uk/people/t.wiseman,THEO,8
